,ID,Tweet,Class
0,1444325619513401088,زيارتي للجناح السعودي إكسبو دبي أكبر جناح المعرض ويعكس الرؤية السعودية الملهمة للمستقبل بالمملكة بلدهم وعبر المنصة الثقافية العالمية,positive
1,1451962946461052928,زيارتي لجناح المملكة إكسبو يأخذك رحلة ماضي وحاضر ومستقبل السعودية بطريقة مذهلة ومبهرة لدرجة زوار الجناح يشكل زوار إكسبو دبي تمثل أعلى نسبة تاريخ الإكسبو مشغول سو لايك وأرجع بعدين حسنا_اليد  السعودية إكسبو,positive
2,1487417431262117888,أثناء زيارتي جناح ألمانيا إكسبو دبي أكبر الأجنحة الدولية المشاركة يضم أفكارا مذهلة للاستدامة ومدن المستقبل والحفاظ التنوع البيولوجي كوكبنا وابتكارات ألمانيا مجالات الطاقة الشمسية,positive
3,1454025160659508992,زيارتي لجناح سيشل ولقائي رئيسها بجناحهم إكسبو دبي لديهم خطة تنموية اسمها استراتيجية الاقتصاد الأزرق المعتمدة البحر كأهم مورد اقتصادي لديهم نتعلم ولدينا نفيدهم وهكذا العلاقات الأخوية,positive
4,1509228218733276928,جزء زيارتي للجناح الوطني الامارات فعلا منطقة اكسبو تخطيط وتصميم وتنظيم مستحيل التفوق سيكون علامة فارقة ومميزة كالعادة مسجلة بإسم دولة وخصيصيا دبي عمار الامارات,positive
5,1451284596721689088,زيارتي لجناح السعودية اكسبو دبي فخر فخر فخر  الآخر وطني الحبيب وهل أحب سواه,positive
6,1452266978303951104,زيارتي لجناح السعودية إكسبو دبي يمثل المملكة تاريخيا وجغرافيا وتراثيا وثقافيا واستثماريا وبشكل إبداعي وجاذب اكرمونا بحفاوة استقبالهم وجميل اخلاقهم قلب  السعودية إكسبو,positive
7,1462720505207823872,زيارتي لجناح صميم إكسبو دبي يتعرف العالم إرث دولتنا الغني الحدث الأكبر يجمع ثقافات العالم مكان نعتز بماضينا ونفتخر بإرث أجدادنا نتخذ نقطة انطلاق المستقبل,positive
8,1503645407469089024,زيارتي العالم يتضامن أوكرانيا اكسبو دبي,neutral
9,1488930917045448960,زيارتي لجناح مصر اكسبو دبي قلب قلب ,neutral
10,1465082337373442048,زيارتي اكسبو دبي قلب قلب ,neutral
11,1449281558742016000,اطلعت زيارتي لجناحي رواندا وساحل العاج إكسبو دبي أفكار ومشاريع ومبادرات تنطلق عمق الثقافة الأفريقية آفاق المستقبل الرحبة لدينا فرصة كبيرة للعمل أصدقائنا القارة الأفريقية لبدء مرحلة جديدة التعاون ضوء رؤية مشتركة غايتها سعادة الإنسان,positive
12,1458017730775425024,تصويري اثناء زيارتي اكسبو دبي,neutral
13,1463849753939258880,صور سريعه اثناء زيارتي اكسبو دبي اتمنى تنال اعجباكم,neutral
14,1504377838581001984,زيارتي اكسبو دبي دخلت الجناح الأسباني وجدت التشابه الكلمات العربية والأسبانية أستطيع القول اللغة العربية اللغات,neutral
15,1472247772929830912,زيارتي لمعرض المملكة دبي اكسبو,neutral
16,1499328064664317952,زيارتي لجناح الأردن اكسبو دبي,neutral
17,1447138574902649088,تشرفت زيارتي لدولة الامارات الشقيقة بزيارة جناح المملكة العربية السعودية إكسبو دبي شعرت بفخر واعتزاز احتواه المعرض وعكس تاريخها العريق ومستقبلها المشرق بإذن الله القيادة الرشيدة لمولاي خادم الحرمين الشريفين وسمو ولي عهده الأمين حفظهما الله,positive
18,1505197735456260096,زيارتي لجناح اليابان إكسبو دبي اطلعت استعدادات مدينة أوساكا اليابانية لاستضافة النسخة المقبلة المعرض العالمي الإمارات تدخر جهدا إنجاح النسخ المقبلة إكسبو ودبي ستظل دائما داعمة لأهداف إكسبو الرامية للانتقال بشعوب العالم مستقبل أفضل,neutral
19,1462515745695449088,زيارتي لمعرض اكسبو دبي زميلاتي الصحفيات اعضاء جمعية الصحفين العمانية,neutral
20,1452333128408776960,زيارتي لمعرض اكسبو دبي,neutral
21,1469629706186199040,الصور زيارتي لمعرض اكسبو دبي,neutral
22,1460669237899502080,جناح الوطن  أستمتعت أثناء زيارتي لمعرض أكسبو دبي  لجناح النشاما أردن الخير قمة الترحيب والحفاوة دخولي لخروجي وليس بغريب شعب منهاجه الترحيب بالضيف بالاضافة تصميم الجناح المبهر الطابع الثقافي والتراثي للأردن ,positive
23,1457393321370963968,زيارتي لأجنحة سلطنة عمان وكوريا الجنوبية واسرائيل والصين اكسبو دبي اطلعت مسؤولي الأجنحة أهم مشاركات بلدانهم المتنوعة وحضاراتها وثقافاتها الغنية وصلت إليه مجال التكنولوجيا الخضراء ومبادرات الإستدامة المبتكرة والحلول المستقبلية,positive
24,1445055817158364928,زيارتي الأخيرة اكسبو دبي الجمعة ابهار للعين بكل تحويه الكلمة معنى الله يعز بلادنا ويحفظ شيوخنا,positive
25,1462857518179361024,زيارتي اكسبو دبي الأمس إضافة جميلة جدا مباني منظمة أهم شيء لياقتك حاضرة الدخول لأنك بتتعب المشي لضخامة المكان تبارك الرحمن قلب  ياحي وسهلا بعمان,positive
26,1454510246022483968,تصويري جزء زيارتي لجناح المملكة معرض إكسبو مدينة دبي بدولة الامارات الشقيقة اكسبو دبي اكسبو الرياض,neutral
27,1507814630017617920,زيارتي لمعرض اكسبو دبي شيء منظم ويستحق الزيارة الختام الخميس القادم,positive
28,1451575417819652096,زيارتي لدبي ذهبت مباشرة للجناح الاردني معرض اكسبو دبي بالسوء وصفه البعض ويعطيهم العافية عمل وأجتهد واضح ادارتنا لاغلب الملفات ينقصها التخطيط الجيد والاحترافية والتمثيل الحقيقي لمكونات الاردن وكنوزه,negative
29,1446081808395801088,مدير محميات برية الإمارات زيارتي للجناح الموريتاني بمعرض اكسبو دبي فرصة لنقاش سبل التعاون البلدين الشقيقي موريتانيا والامارات مجال تطوير المحميات البرية موريتانيا لايف,neutral
30,1482652128288162048,زيارتي لجناح دولة الكويت الشقيقة إكسبو دبي واطلاعي تاريخها العريق إكسبو دبي إكسبو دبي,positive
31,1508479879733562880,زرت الجناح الألماني معرض اكسبو مميز قوم يتحدثون انجزوا ولكنهم يتحدثون المستقبل اعجابي قديم بألمانيا وتعمق زيارتي لجناحهم اكسبو دبي,positive
32,1464165533897708032,جناح المملكة اكسبو دبي فخر لكل سعودي افضل جناح زيارتي زادتني فخرا بوطني ابهر مواطني الدول المتقدمه همه القمه,positive
33,1445845685660786944,سعيد رأيته أثناء زيارتي لمعرض الرياض الدولي للكتاب تطور كبيره شهده المعرض تقوده وزارة الثقافة وهيئة الأدب عمل مميز وتوسع مفهوم المعرض بالفعاليات الثقافية المصاحبة كأكبر معرض كتاب بتاريخ المملكة بلادنا تبهر العالم؛ حضور رائع إكسبو دبي ومعرض الكتاب,positive
34,1451973176997596928,زيارتي إكسبو دبي يأخذك رحلة ماضي والحاضر مستقبل الدول بطريقة مذهلة بالتوفيق لدولة الإمارات,positive
35,1453754575874248960,زيارتي للجناح الكولومبي المشارك اكسبو دبي رحلة شيقة تعرفت كولومبيا وعلى تنوعها الثقافي وطبيعتها المتميزة,positive
36,1509628274728747008,كلماتي المتواضعة وبصوتي المتواضع خلال زيارتي لجناح المغرب إكسبو دبي شكرا لكل القائمين الصرح العالمي العظيم كاظم الساهر المغرب اكسبو دبي,positive
37,1449668017479110912,زيارتي الرابعة أيقنت بأن اكسبو دبي يقدم خارطة طريق شاملة للاستثمار مستقبل البشرية يوفره فرص واعدة ورؤى وإبداعات مختلفة وتقديم الحلول الناجعة لمواجهة التحديات والأزمات العالمية…,positive
38,1458334368871723008,صور زيارتي أكسبو دبي لجناح الجزائر والعراق الحبيب يروي تفاصيل كثيره الدولتان المميزتان اللهم أدم الأمن والاستقرار أرضهم الطيبه قلب ,positive
39,1459946732297626112,زيارتي إكسبو دبي وأنصح بزيارته وخاصة أفضل جناح الجناح السعودي الشكر والتقدير والاحترام لجميع العاملين بالجناح ويعطيهم العافية,positive
40,1463829157519965952,زيارتي وفد جمعية الصحفين العمانية لمعرض اكسبو دبي وجناح السلطنة بالمعرض,neutral
41,1448475505854930944,زيارتي اكسبو دبي والحاجات الشفتها فيهو الما بتتوصف تشوفه عديل والتنظيم الفوق بروفيشنال حابي اقول ليكم انو حرفيا العالم كلو كفه والامارات كفة براها حقيقي الناس ديل عبرو وصلو مراحل بعيده بعيده جدا جدا,positive
42,1485923846771585024,زيارتي جناح سويسرا إكسبو دبي لمست التناغم الفريد الطبيعة الساحرة بأجوائها الضبابية وجبالها وبين التقنيات الحديثة والابتكارات العلمية تستشرف مستقبل الاستدامة واحدة الدول ابتكارا العالم,positive
