,Tweet_ID,Tweet_Text,Class,
,1٫44433أس+18,خلال زيارتي اليوم للجناح السعودي في إكسبو دبي اليوم … ثاني أكبر جناح في المعرض .. ويعكس الرؤية السعودية الملهمة للمستقبل .. أهلاً بالمملكة في بلدهم وعبر هذه المنصة الثقافية العالمية https://t.co/VsK56gqEfm,positive,
,1٫45196أس+18,"هنا زيارتي لجناح المملكة في إكسبو والذي يأخذك في رحلة إلى ماضي وحاضر ومستقبل السعودية بطريقة مُذهلة ومبهرة، لدرجة أن عدد زوار الجناح يشكل أكثر من 30% من زوار إكسبو دبي وهي تمثل أعلى نسبة في تاريخ الإكسبو.

إذا مشغول ""سو لايك"" وأرجع له بعدين 👌🏼🇸🇦 #السعودية_في_إكسبو2020 https://t.co/unZKd6XLal",positive,
,1٫48742أس+18,أثناء زيارتي جناح ألمانيا في إكسبو دبي ٢٠٢٠ .. أحد أكبر الأجنحة الدولية المشاركة والذي يضم أفكاراً مذهلة للاستدامة .. ومدن المستقبل … والحفاظ على التنوع البيولوجي في كوكبنا .. وابتكارات ألمانيا في مجالات الطاقة الشمسية .. https://t.co/MfiesIhzJH,positive,
,1٫45403أس+18,"خلال زيارتي لجناح سيشل ولقائي مع رئيسها بجناحهم في إكسبو دبي ٢٠٢٠ ... لديهم خطة تنموية اسمها ""استراتيجية الاقتصاد الأزرق"" المعتمدة على البحر كأهم مورد اقتصادي .. لديهم ما نتعلم منه .. ولدينا ما نفيدهم به ..وهكذا هي العلاقات الأخوية https://t.co/ZZ4ywlWQUj",positive,
,1٫50923أس+18,"جزء من زيارتي للجناح الوطني لـ #الامارات في #Expo2020Dubai 
فعلاً منطقة #اكسبو تخطيط وتصميم وتنظيم مستحيل يمكن التفوّق عليه .. سيكون علامة فارقة ومميّزة كالعادة مُسجلة بإسم دولة وخصيصياً #دبي !  عماااااار يا الامارات
#Dubai https://t.co/ckJLcQ40tW",positive,
,1٫45128أس+18,"زيارتي لجناح السعودية في اكسبو دبي اليوم

🇸🇦فخر 🇸🇦فخر 🇸🇦فخر 🇸🇦

من الآخر (وطني الحبيب وهل أحب سواهُ) https://t.co/U2fyAx8eOt",positive,
,1٫45227أس+18,"زيارتي لجناح #السعودية في إكسبو دبي الذي يمثل المملكة تاريخياً وجغرافياً وتراثياً وثقافياً واستثمارياً وبشكل إبداعي وجاذب. @a_albander 
اكرمونا بحفاوة استقبالهم وجميل اخلاقهم.🇦🇪❤️🇸🇦 #السعودية_في_إكسبو2020 https://t.co/Biub2JiycY",positive,
,1٫46272أس+18,خلال زيارتي لجناح صميم في إكسبو 2020 دبي .. اليوم يتعرف العالم على إرث دولتنا الغني من خلال الحدث الأكبر الذي يجمع كل ثقافات العالم في مكان واحد.. نعتز بماضينا ونفتخر بإرث أجدادنا الذي نتخذ منه نقطة انطلاق نحو المستقبل.. https://t.co/fyUf8CQ4Kt,positive,
,1٫50365أس+18,"من زيارتي اليوم …

العالم يتضامن مع #أوكرانيا في #اكسبو_2020 #دبي https://t.co/daRismTTGQ",neutral,
,1٫48893أس+18,"زيارتي لجناح مصر في اكسبو #دبي 

🤍🇪🇬🤍 https://t.co/66cq0c7Xzm",neutral,
,1٫46508أس+18,زيارتي ل #اكسبو_دبي_٢٠٢٠ ❤️❤️ https://t.co/4s0sKQoRdV,neutral,
,1٫44928أس+18,اطلعت خلال زيارتي لجناحيّ رواندا وساحل العاج في إكسبو 2020 دبي على أفكار ومشاريع ومبادرات تنطلق من عمق الثقافة الأفريقية نحو آفاق المستقبل الرحبة.. لدينا فرصة كبيرة للعمل مع أصدقائنا في القارة الأفريقية لبدء مرحلة جديدة من التعاون في ضوء رؤية مشتركة غايتها سعادة الإنسان. https://t.co/4oA5mLOWMj,positive,
,1٫45802أس+18,تصويري اثناء زيارتي #اكسبو دبي 💐 https://t.co/M2U5bcUpQt,neutral,
,1٫46385أس+18,صور سريعه اثناء زيارتي الاولى الى #اكسبو_دبي #Expo2020  اتمنى ان تنال اعجباكم https://t.co/HICdEfnAgB,neutral,
,1٫50438أس+18,"من زيارتي لـ #اكسبو_دبي دخلت الجناح الأسباني ووجدت التشابه بين الكلمات العربية والأسبانية ..

أستطيع القول أن #اللغة_العربية أم اللغات 🙂 https://t.co/jQWYba5dwu",neutral,
,1٫47225أس+18,زيارتي لمعرض المملكة في دبي #اكسبو 2020 https://t.co/nJRpHagaVt,neutral,
,1٫49933أس+18,"#Expo2020Dubai 
#Jordan 
زيارتي لجناح الأردن في اكسبو دبي https://t.co/BqYMGvvF4F",neutral,
,1٫44714أس+18,تشرفت خلال زيارتي لدولة الامارات الشقيقة، بزيارة جناح المملكة العربية السعودية في #إكسبو_2020_دبي، وقد شعرت بفخر واعتزاز بما احتواه المعرض وعكس تاريخها العريق ومستقبلها المشرق  -بإذن الله- تحت القيادة الرشيدة، لمولاي خادم الحرمين الشريفين وسمو ولي عهده الأمين -حفظهما الله-. https://t.co/pOezKi60xu,positive,
,1٫5052أس+18,خلال زيارتي لجناح اليابان في إكسبو 2020 دبي، اطلعت على استعدادات مدينة أوساكا اليابانية لاستضافة النسخة المقبلة من المعرض العالمي في 2025.. الإمارات لن تدخر جهداً في إنجاح النُسخ المقبلة من إكسبو.. ودبي ستظل دائماً داعمة لأهداف إكسبو الرامية للانتقال بشعوب العالم إلى مستقبل أفضل. https://t.co/srhPZ2S8CJ,neutral,
