,ID,Tweet,Class
0,1.4973E+18,قبيل الاحتفال بـ اليوم الدولي لمراة تستعد كوكبة الفنانات الاستثناءيات وفرق موسيقية بقيادات نساءية لابهار زوار اكسبو  دبي عينك علا اكسبو   ,positive
1,1.4973E+18, لحظات نزول دابانغ سلمان خان علا ارض المسرح اكسبو  يقف علا مجسم لجناحي صقر والتصفيق مستمر الجمهور   ,positive
2,1.4973E+18,ليلة ميزة بانتظارنا   الحانها شرقية نجومها استثناءين   اكسبو,positive
3,1.4973E+18,اصدق حفلة احلا فستان مستان انا بختار  واذا حفلة فبختار حفلة حفلات نانسي كلون حلوين يعني        ,positive
4,1.49729E+18, جنون بعده جنون دابانغ سلمان خان يستعرض حشد كبير معجبينه اكسبو    ,positive
5,1.49729E+18,اوركسترا الفردوس تمتع زوار اكسبو  دبي بعزفها لمجموعة منوعة الالحان والمقطوعات الموسيقية عينك علا اكسبو  ,positive
6,1.49729E+18,اكسبو اكسبو دبي الامارات   جناح سلطنة عمان ارقا الاجنحة معرض اكسبو  ,positive
7,1.49728E+18,ليلة  حتكون مليءة باحلا الانغام الشرقية كونوا علا الموعد نجومكم المفضلين  بشار الجواد اكسبو    ,positive
8,1.49727E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  الكويت دبي جنة لنا كلنا الاعياد الوطنية  فبراير نرفع علمنا ونفتخر ,positive
9,1.49727E+18,العين الاخبارية تستعرض ابرز احداث معرض اكسبو اليكم التفاصيل عينك علا اكسبو  ,neutral
10,1.49727E+18,ارض  دار العز الكويت اقدم الفيديو زيارتي لـ جناح الكويت هدية لكويت واهلها    بمناسبة العيد الوطني الكويتي  هند المشهور  فبراير عيد التحرير عيدي يا كويت جنة لنا كلنا لا وطن مثل الكويت العيد الوطني الكويتي  ,positive
11,1.49727E+18, لقطه جميله وعفويه لسوبر ستار الطيف سلمان خان اكسبو وهوه يحمل ايات ابنت اربيتا خان  ,positive
12,1.49727E+18,مانيش بول تقديم حفل دبانغ اكسبو دبي   ,neutral
13,1.49726E+18,بداية حفلة السوبر ستار سلمان خان اكسبو دبي تصوير المعجبين  ,neutral
14,1.49726E+18,اخر تحديث سلمان خان اكسبو المعجبات  ,neutral
15,1.49726E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  الكويت دبي جنة لنا كلنا الاعياد الوطنية  فبراير نرفع علمنا ونفتخر  وزارة الاعلام الكويت ,positive
16,1.49725E+18,طلاب الامارات ينالون جاءزة افضل عرض بصري لـ حملة الصحة النفسية والاجتماعية لكبار السن ختام اعمال مجلس الصحة الخليجي المقام اكسبو عينك علا اكسبو   ,neutral
17,1.49724E+18,حياتي    البرنسيسة ديانا حداد  دبي الامارات,positive
18,1.49724E+18,نصب الشاب الجزاءري عيسا قريشي طاولة خشبية امامه واضعا لوحات رسمها مستمدا ادواتها تجود الطبيعة رمال وبدقة متناهية يبدا تشكيل حبيبات الرمل الملونة الرسم مستخدما الغراء ليحولها قطع فنية تنطق بالحياة وتستقطب زوار الجناح الجزاءري اكسبو   ,positive
19,1.49723E+18,برفع العلم وعزف النشيد الوطني لدولة الامارات الكويت اكسبو يحتفي باليوم الوطني الكويتي عينك علا اكسبو   اكسبو,positive
20,1.49723E+18,التغريدة رح اشاركم افضل الاعمال صمتها تجربة جديدة بالنسبة صعبة لغاية وفخور بتنفيذها تصميم   ,neutral
21,1.49723E+18,كونوا علا الموعد زياد برجي  بشار الجواد وداليدا خليل السبت مباشرة اكسبو دبي الساعة   علا تلفزيون زياد برجي بشار الجواد داليدا خليل  دبي الامارات اكسبو ,neutral
22,1.49721E+18,الامارات تبتكر اطلاق النظام الذكي صون لحماية الاساءة رابط التقرير عينك علا اكسبو   اكسبو ,neutral
23,1.49721E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  خالد مهدي الامين العام لـ المجلس الاعلا لتخطيط والتنمية الكويت دبي اكسبو دبي   وزارة الاعلام الاخبار ,positive
24,1.4972E+18,اكسبو دبي الاسبوع الجاري واصل تصديه لتحديات وقضايا الامن الغذاءي العالمي والبحث سبل تعزيز ونشر تقنيات الابتكار الزراعي عينك علا العالم عينك علا اكسبو   ,positive
25,1.4972E+18,فعاليات فنية وثقافية احتفالا بالاعياد الوطنية جناح دولة الكويت بمعرض اكسبو  خالد مهدي الامين العام لـ المجلس الاعلا لتخطيط والتنمية الكويت دبي اكسبو دبي   وزارة الاعلام الكويت,positive
26,1.49719E+18,اكسبو دبي يقدم لزواره باقة متنوعة العروض والانشطة الترفيهية تنسا عطلة الاسبوع المقبلة عينك علا اكسبو  ,positive
27,1.49718E+18,مدغشقر تحتفل بعيدها الوطني اكسبو دبي رابط التقرير عينك علا اكسبو   ,neutral
28,1.49717E+18,عمري هالويه    البرنسيسة ديانا حداد  دبي الامارات,positive
29,1.49717E+18,المرحلة السادسة لـ طواف الامارات تنطلق اكسبو مرورا ابرز المعالم والايقونات المعمارية امارة دبي عينك علا اكسبو  ,neutral
30,1.49716E+18,اكسبو دبي نجم باكستان شفقت امانات يشعل مسرح اليوبيل رابط التقرير عينك علا اكسبو  ,positive
31,1.49716E+18,لعشاق الحلويات حياكم  الحلقة مخصة زيارتكم لـ اكسبو دبي يزداد مذاقها حلاوة عبداله المراشدة يعرض خريطة الدول تقدم افضل انواع الشوكولاتة العالم داخل اكسبو دبي حلقة جديدة برنامج اكسبو عينك علا اكسبو  ,neutral
32,1.49715E+18,الامارات الكويت اكسبو دبي يعز العلاقات الاخوية بالاعياد الوطنية رابط التقرير عينك علا اكسبو  ,positive
33,1.49714E+18,الهم طمانينة لقلبها تيسيرا لامورها يارب العالمين       البرنسيسة ديانا حداد  دبي الامارات ,positive
34,1.49714E+18,الاحلام حقيقة اكسبو دبي تفاصيل السيارة الاجرة الطاءرة عينك علا اكسبو   ,positive
35,1.49714E+18,هدفه الكشف المبكر الاساءة المحتملة داخل الاسرة وزارة تنمية المجتمع دولة الامارات تطلق نظام صون اكسبو دبي اسرة امنة وسعيدة شاهدوا التقرير عينك علا اكسبو  ,neutral
36,1.49713E+18,عروض موسيقية ميزة الجناح الهندي بـ اكسبو دبي رابط التقرير  عينك علا اكسبو  ,positive
37,1.49711E+18,جناح يلفت نظر الزوار لخطر المحيط بالدولة باختفاءها  فقط وذلك بفعل التغير المناخي وارتفاع منسوب المياه كريباتي اكسبو دبي  فردوس مصم علا البقاء عينك علا اكسبو   ,positive
38,1.49708E+18,تعرفوا علا ابرز فعاليات الـ  لـ اكسبو  دبي  الجمعة  م اكسبو   ,neutral
39,1.49697E+18,وزير الاعلام والثقافة وزير الصحة يزوران جناح دولة الكويت اكسبو دبي  الكويت دبي  الخميس الونيس الحرب الروسية الاوكرانية مساء الخيرᅠ وسم نيوز ,neutral
40,1.49697E+18,وزير الاعلام والثقافة وزير الصحة يزوران جناح دولة الكويت اكسبو دبي  الكويت دبي  وزارة الاعلام الكويت ,neutral
41,1.49696E+18,بحضور رءيسها نيكوس اناستاسيادس قبرص تحتفل بيومها الوطني اكسبو دبي عينك علا اكسبو  ,neutral
42,1.49695E+18,امنة وهادءة  ولاتسب تلوث الاحلام تحق اكسبو دبي بالكشف سيارات اجرة طاءرة عينك علا اكسبو  ,positive
43,1.49694E+18,الشيخ محمد راشد  اكسبو دبي يعد منصة نموذجية لاحتفاء بالابداع والابتكار واكتشاف شراكات جديدة خلالها ايجاد المزيد فرص التطور والرقي لشعوب المنطقة والعالم عينك علا اكسبو  ,positive
44,1.49693E+18,بهدف تحسين الامن الغذاءي طرح جناح هولندا اكسبو دبي  فكرة تدعو لدمج المساحات الحضرية والمساحات الخاصة لانتاج الغذاء عينك علا اكسبو   ,neutral
45,1.49692E+18,اختام قمة مستقبل الغذاء واليوم الوطني لقبرص ومدغشقر ابرز احداث اكسبو دبي عينك علا اكسبو   ,neutral
46,1.49691E+18,النقاشات اسبوع الغذاء والزراعة وسبل العيش اكسبو دبي خبراء يكشفون امكانية اطعام ملياري شخص اضافين عينك علا اكسبو   ,neutral
47,1.4969E+18,تصويري لجناح الروسي  اجمل الاجنحة فالتصميم الخارجي   ,positive
48,1.4969E+18,الدوزي يضيء سماء دبي حفل استثناءي بكل المقايس  الدوزي بيروتكم المغرب  اكسبو حياكم ,positive
49,1.49689E+18,ويركز جناح باكستان علا اكتشاف قطاعي السياحة والاستثمار والترويج مجموعة الشاشات تعرض مقاطع فيديو تفاعلية تصميمها لالهام الزاءر ليشهد تجربة رقمية لباكستان بدءا الحضارة القديمة العصر الحديث باكستان الامارات   ,neutral
50,1.49689E+18,ركزت علا احدث التقنيات والابتكارات مجال الزراعة قمة مستقبل الغذاء تختم فعالياتها اكسبو دبي عينك علا اكسبو  ,neutral
51,1.49688E+18,وكاله سافر لسياحة سافر لكل مسافر سافر معنا سافر باقل الاسعار اكسبلور دبا دبي الرياض رحلات الرياض الان اجازة اكسبو الرياض الان اكسبلور ,neutral
52,1.49688E+18,احتفالا باليوم الوطني لمالي الفنانة اومو سنغاري تشعل اجواء اكسبو دبي عينك علا اكسبو   ,positive
53,1.49687E+18,امر هام لاستخدام الزراعي الرمال المتنفسة ثورة عالم الزراعة بـ اكسيو دبي عينك علا اكسبو  ,neutral
54,1.49686E+18,استمرار فعاليات معرض الابتكار والتكنولوجيا والريادة الاردنية الجناح الاردني اكسبو   ,neutral
55,1.49685E+18,محمد بن راشد استقبال الرءيس القبرصي اكسبو  دبي محادثات ايجابية اجريناها واتفاقيات مشتركة شهدناها وعلاقات متطورة نتوقعها الفترة القادمة اكسبو  ,neutral
56,1.49685E+18,بهدف تعزيز التعاون دولة الامارات كندا استضافت القنصلية العامة لكندا ندوة الابتكارات الكندية مجالات الاغذية والتكنولوجيا الزراعية بـ اكسبو دبي عينك علا اكسبو   ,neutral
57,1.49683E+18,اين استلهمت كليثم فكرة الشجرة الالكترونية  تشاهدون ابتكار كليثم المدهش جناح المبتكرون الصغار فعاليات اكسبو   ,neutral
58,1.49683E+18,جربتم طباعة طعامكم قبل  يمكنكم فعل جناح ليتوانيا بـ اكسبو اياد شعشاعة يقدم جولة برنامج اكسبو اكسترا عينك علا اكسبو  ,neutral
59,1.49682E+18,اقدمه عبر قناتي اليوتيوب تصوير ومونتاج وتقديم اخترت جناح اليمن السعيد اراه وكما اراه التقرير مليء بالمعلومات الجديدة مشاهدة متعة    ,neutral
60,1.49682E+18,غينيا تشارك اكسبو دبي بجناح يستعرض ابرز الحلول المبتكرة لتعزيز الاستدامة والمحافظة علا المياه عينك علا اكسبو   ,neutral
61,1.49681E+18,  اكسبو  دبي  جناح المغرب يلهم ويقدم تراثه الجميل لعالم ولاجيال القادمة الفيلم المتحرك صمه شريكنا الرسمي مءسة دار الصانع عرضه الحكاية التفاعلية الحرف اليدوية المغرب   ,positive
62,1.49681E+18,لتسليط الضوء علا اجندة الابتكار الامارات  والتي تهدف تعزيز الامن الغذاءي جناح دولة الامارات اكسبو دبي  نظم حلقة نقاشية عنوان زراعة الغذاء الصحراء الابتكار الزراعي عينك علا اكسبو   ,neutral
63,1.4968E+18,شك اكسبو  دبي وضع الصومال علا الخريطة العالمية وانه لمن دواعي سرورنا نحظا بامتياز التفاعل اشخاص جنسيات مختلفة وزوار انحاء العالم الفرصة تزال قاءمة امامنا  يزال المزيد يسدل الستار علا فعاليات الحدث ,positive
64,1.4968E+18,علا منصة اليوبيل قدم المغني وكاتب الاغاني البناني الموهوب هادي سري الدين مجموعة منوعة الاغنيات الجميلة علا طريقة الهيب هوب نالت رضا الجمهور واستحسانه اكسبو دبي عينك علا اكسبو   ,positive
65,1.49679E+18,اكسبو دبي سبيل العالم تاسيس مستقبل الغذاء المستدام رابط التقرير  عينك علا اكسبو   ,neutral
66,1.49679E+18,وحتا الـ فبراير شباط الجاري  لرواد المطاعم الاستمتاع بتجارب تناول الطعام باسعار استثناءية  متاحة لمرة واحدة العمر  المطاعم الاكثر شهرة موقع اكسبو  دبي  وتلك الموجودة حديقة الاحتفالات ,neutral
67,1.49678E+18,مصمة الرقصات والراقصة الاشهر اسبانيا والعالم ماريا باغيس تقدم عرضا مذهلا الجناح الاسباني بالتعاون اكسبو دبي عينك علا اكسبو   ,positive
